"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib","plugin","pluginse","onestep","onestepse","plugin_adapt","pluginse_adapt","onestep_adapt","onestepse_adapt"
2500,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.47781404064368,0.0781120896179239,4.92998043671406,1.78547746780135,1.77986663073513,0.0677891863425421,2.40985639678866,1.01638815126606
2500,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.34846998365352,0.0892234159912017,3.31899149813711,0.895947851356842,1.30800598916672,0.0545474465053531,1.6036408408528,1.48898957641975
2500,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.51711539985661,0.0905310806188294,2.09708038038752,0.663545383138667,0.716867760152647,0.0816324681719038,1.86271414301041,1.33327995692675
2500,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.31734339384711,0.0643145136866767,1.60768087439794,0.991478265395671,2.01073784020582,0.0717529387542258,3.30837069320729,1.14089732405904
2500,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.61037432728588,0.0978112079823566,1.47770721070376,1.43146556074694,2.63458271034726,0.0857295413015783,3.39783945282916,0.801238367993678
2500,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.20643339298982,0.120960062113878,-0.269878824444919,1.49770334011726,1.23594543602736,0.147389955733916,-1.18770709265116,2.83985328980839
2500,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.05511745348687,0.133722314467332,4.62445020207028,1.1713011886299,2.05305970393281,0.103056873541695,1.78475217406569,0.923537832178076
2500,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.44843480292726,0.0748412408197011,3.17270517942324,0.617470950257159,2.30555856862715,0.0545405869878068,2.93494522250758,0.999103398486237
2500,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.07796097907817,0.0734307390741057,2.50289032296509,1.33081280585562,1.89713653450386,0.0549931453676317,2.160101929438,0.893207107041195
2500,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.21735728430932,0.069536534872042,2.49654064301695,0.617437726990404,1.38689614125507,0.0641359445249702,1.9071485563882,1.16382423486409
2500,0.2,0.3,0.15,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.73430341077502,0.066567326564957,3.26636933084389,0.484282792533653,2.08751889237334,0.0561063872532521,2.6719978798426,0.823926668598286
2500,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.39313862845227,0.0881496890215585,2.27420729695405,1.08144948017259,2.13521192534964,0.11136239603605,2.83306680158089,1.88468606025795
2500,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.57593623731005,0.0464934160154881,3.15887283410695,1.04751380944088,1.66217645954313,0.0699204156965911,1.59842921206868,1.00330872999661
2500,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.83151236931714,0.0788179036970779,4.83473973984424,0.499817946456956,1.75512523974296,0.0625814139527822,1.24096204615542,1.26437779349377
2500,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.93060094804056,0.0777313528345435,2.26804757468461,0.602167822617493,1.85178168308772,0.0622362765169894,2.52895783474943,0.812948126638722
2500,0.2,0.4,0.2,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.42494427745543,0.067419566074242,2.32575955352352,1.06844360172591,2.42452495273362,0.0619274400676852,3.46250616760454,0.712953202434696
2500,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.64987217540725,0.0603154386300909,2.22782744565986,0.692816534908917,1.84593223515334,0.0637312760827787,1.87636309884861,0.904160032488552
2500,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.72563421137841,0.0833510215954516,4.41544569505757,1.35908605696367,2.14774865252021,0.084636675863733,1.92797382774683,0.930837116039777
2500,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.90460912118923,0.0970239323042599,4.33035454673091,0.828977848700172,2.20621567978868,0.0771942933063661,2.45720443035702,0.949147924038871
2500,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.63679504282289,0.0801714063790012,3.07845762830126,0.680488386985447,1.72186395665602,0.0702689421003578,0.7969994553207,0.9929566482134
2500,0.2,0.5,0.25,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.10591541472639,0.0565798324984368,1.89384079467524,0.68109037428952,2.12718770480663,0.0600952528628322,2.61245260118761,1.09230046349385
5000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.67145162225081,0.0482697207754417,1.90471000671622,0.825085263828926,1.55073539874599,0.0405487731492402,1.22044890061874,1.71100310469072
5000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.92228233224919,0.0369910814361287,3.03907269081898,1.58096630545898,1.93793133514892,0.05024793408855,2.41158720403032,1.12332863727367
5000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",2.63355020964771,0.0422314576616186,3.97824543230668,0.662080104495799,1.65091989562968,0.0343794981244673,4.45935839173224,1.0290824266663
5000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.39552407837736,0.063612964674011,4.55032683822293,1.68977346249219,2.96824095000947,0.0522480501282283,2.98793373993053,1.28439087569635
5000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",1.95343344039042,0.0519984372091766,0.998266079846018,1.68732771020672,3.2547133466837,0.0666109126527616,3.56128279356632,1.23958400060623
5000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.00748673339806,0.0700954915259101,2.33755644367618,1.10924018809272,2.2090486178399,0.0658037920121357,5.407712265914,1.12393385499701
5000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.earth",3.92189399668956,0.0626926271415039,5.45766265982205,1.04840930814971,1.89607895043183,0.0442264057034131,3.69522620444439,0.630015852781797
