"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib1","sl.lib2","sl.lib3","plugin","pluginse","onestep","onestepse","oracle","naive","psi_hat_adapt","tml","tmlse","tml_evm","tml_evmse","tml_mid","tml_midse","psi_hat_cv"
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.86738824760108,0.151074140982911,2.12668696741777,0.972676501427937,2.45407090123261,-1.01629391926981,1,2.81585257427012,0.943140929837141,2.18467277052584,0.717017544384957,-6.06293663307509,20.6291602766613,2.91889962597462
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",1.28082184816689,0.0743625578647789,4.39449394932014,4.14968622920987,1.94023546224555,-1.23219583698029,1,7.35772692836583,3.07392969004389,4.99996121813015,1.57527249773657,87.4201381705947,104.084743670999,4.09731576259036
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",5.28761256416288,0.175633937400171,6.39338098172661,2.25272270630959,2.39032804626477,-0.928175402609012,1,3.40070711096156,1.1825711919604,3.49246013909396,0.688157917941875,40.7727624663268,40.3511513167619,3.50600919463769
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",-109943659.434751,38766213.9072209,-65660522.7591707,23524381.7098674,2.42566150439377,-1.00116188787907,1,1.06583215633436,1.87258576737338,2.98817523109647,0.672247465569838,-63.7918699057738,104.564876682788,1.4889555007524
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.31725762491374,0.112176909125778,1.88022697266121,1.71553266032296,3.23415287730668,-1.197119086216,1,1.18534253577596,1.1267835114336,0.484269419555458,0.695633158395161,-28.0913904723977,20.8277342183066,1.86122245483176
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",0.499214797238128,0.03520461325938,0.612769565828671,1.26724345781626,3.42397900407771,-1.81873007083381,1,0.727531273478003,0.873441195506469,0.418312447983976,0.807969351616017,-6.67503995225723,15.4457491111178,0.509748048498092
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",3.45876209539424,0.100989552731816,4.29857967066552,1.2212786486139,1.95749360586643,-0.723318586607582,1,6.36811187832493,4.56109171480059,2.3099007636097,0.94086108961613,299.176275230101,342.731195453454,1.82313830446153
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",3.66161546756148,0.228974124281494,2.90900347806626,1.72858354208459,3.05392815038394,-1.93799989150448,1,3.47544175481736,1.69151286056086,2.0271357099072,0.550371827418133,-25.3118327828117,61.9015902099591,2.51793758242847
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",-0.301593501486484,0.100214473220645,0.305706606879237,1.35164026374226,2.15334699794398,-0.841359035020411,1,-1.08800323524068,1.20221975605861,-1.6337197712362,0.972977369699352,-37.4154271160698,21.5619653078424,-1.32266036196429
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.75544740476309,0.232951156418197,3.34218448702858,2.06148617735164,2.60695868777389,-1.29892399013916,1,4.93457946605776,3.56192834676147,1.96449602602807,0.774212816349645,55.9315461213168,103.371236745696,3.11214099816435
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",1.48804017245273,0.0752366507676355,2.94179199597731,1.09565695877199,2.93570570580789,-1.74438084532413,1,2.52548452496043,1.49398441425844,2.9480360762734,0.780266242286563,18.5237402178638,26.8883698328734,2.96321274010519
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",3.080871388626,0.171430254748211,1.32658987005212,1.79305943819178,3.25306695470261,-1.90266539288771,1,3.99128043581875,1.73361825636107,2.10570045118571,1.0693043068156,20.7853643810812,53.3255635118711,4.26951878945416
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",1.55283069173667,0.27608461287472,-3.38209446621377,4.55290310287755,2.86043384890456,-1.67693908088975,1,8.47298986137961,5.43872401918894,3.37181377259578,0.908648497584641,-37.7083491900599,63.9289129218339,6.34613429158383
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.9668845249445,0.0862856868122993,4.08533042444023,0.942454868266306,1.85337619189938,-1.15158430079761,1,3.59038972842869,1.63302593837631,2.1206004289676,1.33036637473114,26.0797529342908,33.9732834670882,3.9553646269889
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",2.7381651783684,0.0932244755621565,3.62753147447866,0.814159579292734,2.72356467892721,-1.46140774377174,1,1.95894331681819,1.41051785538965,4.52145614216135,1.03794738813755,34.5713338951867,22.7329806457183,2.31715069821997
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",1.80986978141406,0.338200575687387,10.7133734709906,10.3207507440019,2.91777648310119,-1.54269760817391,1,2.48487291908914,0.865429881897209,1.48253335289249,0.552925468362926,3.255890267267,13.6844235956903,2.0065185618886
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",4.29556053229597,0.274449592465315,4.53438823716381,0.924850980246255,2.51672400551103,-0.982005013198132,1,2.57803381180691,1.55290215204543,2.46129767838798,0.656487086192609,12.1449956180128,26.6622940760808,1.84799704217601
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth",-0.826996188666466,0.115850795946692,-3.40524256318828,1.82588879939365,1.88582624362384,-0.729266500255673,1,-3.60676532119918,2.59590332318779,-1.10382857111827,0.745670538774484,-6.41299104151143,32.3264636390347,1.23282544761803
