"n","omega","rho","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","plugin","pluginse","onestep","onestepse","maxl1","maxpi1","mink","maxk"
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.22542320984653,0.0483115675560425,2.32881709086628,0.235710048285288,0.997797672959086,0.879123867094724,0.0709272960037379,0.92463988855358
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.5258128883186,0.0411245600092696,2.18251593061544,0.187213408064148,0.999542540559354,0.861917325573595,0.117252755152047,0.904871830529219
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.31727109896331,0.0447658736729188,2.52982166630572,0.2140811606472,0.995935592374187,0.841554125550158,0.0975591288421238,0.923293580573919
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.52412437415368,0.0401937434808278,2.54022092954372,0.187658559894831,0.997491277497492,0.825179544177363,0.121671049798705,0.915080451477193
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.23142550729729,0.0419649344278533,2.43327439950265,0.18510140753277,0.997467001607912,0.848209469747881,0.140557125515452,0.922589629837154
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.27438634930198,0.0428860998127939,2.57555227051261,0.203919850689292,0.999887943467995,0.855193966435469,0.0639360980157014,0.93506725474782
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.49803654807236,0.0388721107003121,2.72545811014191,0.211179480342968,0.996255908522309,0.851024823118739,0.0603145886572094,0.93373496922518
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.43022376733243,0.040421945256905,2.44839938805388,0.18149019730503,0.999785228999311,0.829625504018327,0.0938861680264533,0.918958537247564
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.39614862572201,0.0500625692452256,2.21403979465527,0.235188196041914,0.999725544084786,0.88757842035623,0.0872378430989764,0.936876076403986
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.63237310041741,0.0424727439348543,2.60219965784034,0.183620781109699,0.992704203882341,0.840503914365188,0.103794707219788,0.924754710299694
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.48039004129487,0.0437148562286776,2.42179582757055,0.211299541963119,0.999287653114412,0.792299492918026,0.106683978663868,0.926437231104302
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.41498250225582,0.0397419375639299,2.21704557807877,0.19804038080226,0.999847639346793,0.859455038568613,0.0646027195824408,0.926459518365002
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.60228468997444,0.0531031030726097,2.65556390838729,0.261978669674969,0.999729278546651,0.885624072016587,0.0719337172733031,0.931997618612821
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.46786079677422,0.0420354409430201,2.71559183025588,0.210362222614686,0.995717026579562,0.869217019902318,0.112768572142094,0.910405850977523
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.40538324821517,0.0505901802091303,2.64625857464793,0.260769777658037,0.993421591901854,0.844377240339582,0.113745217872663,0.934191056687976
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.46036289047253,0.0376354413783736,2.62605252223182,0.133180869005889,0.999531951594946,0.871006557494957,0.0869823261320146,0.920170379279167
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.38660050673271,0.0402009128794429,2.69849465295124,0.192437159225283,0.997991100417428,0.816840591505282,0.142953983294199,0.902669674176724
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.42581761891511,0.045474645357193,2.4273935346661,0.218887841569147,0.999755991989543,0.895695343518379,0.0889682119536227,0.923333730250552
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.37830065841349,0.0417039966116865,2.40333131244491,0.197823181079155,0.99785080769578,0.846717984420477,0.124034895834644,0.912931382513725
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.40570293019117,0.0471803794119092,2.53099057041699,0.221182604378145,0.999845046829749,0.871253886336027,0.106668934552752,0.89940746418892
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.21294038567203,0.0440605422007205,2.5885697523639,0.200831677167419,0.99753757687138,0.84830188231655,0.13179593009402,0.925489668065834
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.47178641867112,0.0493626261197691,2.51704805128856,0.259401379549057,0.999720546634255,0.87647475257369,0.100159144168816,0.922421903130964
5000,0.2,0.5,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,2.25955424812298,0.0424955587645081,2.53192256160653,0.171254516271726,0.999809684706263,0.865026792917931,0.103465572904587,0.942334685154396
