"n","omega","rho","rho_s","p","delta1","delta2","delta3","nu1","nu2","nu3","beta1","beta2","beta3","gamma1","gamma2","gamma3","eta1","eta2","eta3","eta4","eta5","tau","sl.lib1","sl.lib2","sl.lib3","sl.lib4","plugin","pluginse","onestep","onestepse","oracle","naive","psi_hat_adapt","tml","tmlse","tml_evm","tml_evmse","tml_mid","tml_midse","psi_hat_cv"
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",-0.857949009620992,0.0551732207779888,-0.717336281883019,2.38684178475391,1.4593519187,-0.414183158557405,1,-2.3722872118768,1.87737497561,0.827265366563796,0.992648168907634,9.42584316217275,28.2915947686969,-0.342373544752801
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",5.83517945642252,0.218503870492289,5.58075251759095,1.18194445266788,2.58017395458273,-1.35419201021804,1,1.90644072408866,2.14415380373736,1.58275935014023,0.841137852345502,-31.3970079533609,60.1953334054121,1.35257709241212
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",3.0929803509596,0.101145369874816,3.48628645812928,0.630297753032872,3.09557172202517,-1.94974015973706,1,4.11685956521395,1.49645665958225,1.91036042579041,0.789773814101834,25.8700872875582,33.4548511417155,2.42615907306693
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",0.14993429871243,0.0480388100961194,-2.4852638111616,1.6901823140894,2.75941270264009,-0.91088220092863,1,-0.661587952168822,1.48337221126319,0.229746129252568,0.662996094169143,-84.8339824046623,79.5185829507988,-0.780490920906476
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",0.746349622568629,0.0869590291933957,2.80154312307663,1.46466507736104,2.77716645485977,-1.3161225626825,1,1.74666797148477,1.43816387389799,2.43708344727028,0.84373124993566,21.6751074575199,23.9501503634438,2.83390838353475
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",3.51316042558306,0.137056656971482,2.15824726382972,3.62714065182403,2.63709989587057,-1.49728028190182,1,2.96322277840067,2.12496297506239,3.17809909921726,0.697825964301093,117.44586656322,121.648982364897,4.60062993521078
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",1.33309659668792,0.0789070565985725,0.785237275906442,6.77121716462034,2.46315936673161,-1.39377397783278,1,3.43405193605591,2.49696353841823,4.26386036021438,1.3505407033523,61.0343052916668,129.300655215318,3.87160879015577
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",3.62691360179974,0.0962472514678063,5.55887951999796,2.18702468404773,2.72125266544454,-1.06146001805734,1,2.52722538598182,1.41312505388884,2.53411454063465,1.4231027746413,34.6442411774107,66.0559727080769,2.0517580293386
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",4.6427402330544,0.232112430549603,7.78876369496886,3.23809732258787,2.3558829508985,-0.701045124092355,1,3.67105174196931,1.03503742213965,1.62218751259288,0.753474137453993,-0.116554662956954,17.394339221897,2.03234639924706
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",4.69596756528784,0.135058678319627,5.31595298876484,1.7837877192513,2.43579055558721,-1.30612497100515,1,2.76951321008136,1.3257852462505,2.39034772864992,0.990848672699335,-22.4540618274513,34.9570853719291,3.21868712728161
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",4.8344750717354,0.187812048720434,3.63847837886115,1.22675887639043,2.19041141398898,-0.90800174556467,1,0.602836407576874,1.54842318099602,0.518817635185537,1.1889284555742,-60.2528993710626,73.6062275107766,2.22116601404063
1000,0.2,0.1,0.05,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",3.10124453777228,0.0984535576551966,3.97401048793997,1.48221640820448,2.04818565058934,-0.825631493466444,1,4.22825094420803,2.8000095236756,1.16447437655261,0.711860635002703,113.537628366908,149.880744817553,3.89741912394598
1000,0.2,0.2,0.1,3,-0.1,-0.6,-0.9,0.1,-0.1,0.1,1,2,-2,1,1,1,0.6,-0.2,0.8,0.1,-0.3,1,"SL.glm","SL.glm.interaction","SL.earth","SL.gam",4.26974001440396,0.152862134768797,6.83114904082808,1.91799160185291,1.75869878199451,-0.962655766096874,1,3.0923919600221,1.11755824786469,3.00676802450107,0.701413442746616,15.0369369155437,17.7860373919656,3.04157700129196
